id_groupe_terroriste;libellé_groupe_terroriste
907;Confederation of Iranian Students/National Union (CISNU)
908;Congolese Armed Patriotic Group
909;Congolese Democratic Coalition
910;Congolese Liberation Party (PLC)
911;Congolese National Movement- Lumumba (MNCL)
912;Congolese Patriotic Resistence-Patriotic Armed Forces (Pareco/FAP)
913;Congolese Rally for Democracy (RCD)
914;Congress of Kabardian People
915;Congress Party Activists
916;Conqueror Army
917;Conscientious Arsonists (CA)
918;Conspiracy of Cells of Fire
919;Continental Revolutionary Army
920;Continuing Struggle
921;Continuity Irish Republican Army (CIRA)
922;Continuous Struggle
923;Contras
924;Convention of Liberal Reformers (CLR)
925;Convention of Patriots for Justice and Peace
926;Coordination Committee (CORCOM)
927;Coordination for Revolutionary Action (CAR)
928;Coordination of Anti-atomic Power Plant Saboteurs
929;Coordination of Azawad Movements (CMA)
930;Coordination of the United Revolutionary Organization (CORU)
931;Core Conspirators for the Extension of Chaos (Núcleo de Conspiradores por la Extensión de Kaos)
932;Corsican Farmers' Front
933;Corsican National Liberation Front (FLNC)
934;Corsican National Liberation Front- Historic Channel
935;Corsican Nationalists
936;Corsican Revolutionary Brigade
937;Corsican Separatists
938;Cossack Separatists
939;Costa Rican Peoples' Army (EPC)
940;Council for Popular Justice
941;Council for the Destruction of Order
942;Counter-revolutionaries
943;Counterrevolutionary Solidarity (SC)
944;Coup Plotters Against the Government
945;Court Reform extremists
946;Covenant, Sword and the Arm of the Lord (CSA)
947;Crazy Brabant Killers
948;Croat Democratic Union
949;Croatian Freedom Fighters
950;Croatian Liberation Army
951;Croatian Militia
952;Croatian Nationalists
953;Croatian Revolutionary Cell-Bruno Busic Dept
954;Croatians
955;CSS Movement
956;Cuban Action
957;Cuban C-4 Movement
958;Cuban Exiles
959;Cuban extremists
960;Cuban Secret Army
961;Cubans seeking escape from Cuba
962;Cuncolta Naziunalista
963;Cypriot
964;Cyprus Turkish People's Movement
965;Cyrenaica Self-Defense Force
966;Dacoits
967;Dagestani Shari'ah Jamaat
968;Dainihon Yokuko Doshikai
969;Danish Neo-Nazi Group
970;Dark Harvest
971;Dashmesh Regiment
972;David Yau Yau Militia
973;David's Sword
974;Dawn Forces
975;Dayak gang
976;Death Squad
977;Death Squad (Iraq)
978;Death Squad of Organization Zero (Organizacion Cero)
979;Death to Bazuqueros
980;Death to Drug Traffickers
981;Death to Kidnappers (MAS)
982;Death to Rustlers
983;Death to the Demobilized Militias
984;Deccan Mujahideen
985;December 13 Independent Group
986;Defenders of the Fatherland
987;Defenders of the Nation's Sovereignty
988;Delta Democratic Militia
989;Delta Group
990;Democratic Force for the Defense of Human Rights (FDDH)
991;Democratic Front for Renewal (FDR)
992;Democratic Front for the Liberation of Palestine (DFLP)
993;Democratic Front for the Liberation of Rwanda (FDLR)
994;Democratic Front of the Central African People (FDPC)
995;Democratic Iraqi Opposition of Germany
996;Democratic Karen Buddhist Army (DKBA)
997;Democratic Movement for the Liberation of the Eritrean Kunamas (DMLEK)
998;Democratic Party
999;Democratic Progressive Party
1000;Democratic Revolutionary Alliance (ARDE)
1001;Democratic Revolutionary Front (FDR)
1002;Democratic Revolutionary Party
1003;Democratic Union Party (PYD)
1004;Democratic Youth Federation of India (DYFI)
1005;Demonstration led by French Anti-Nazi Hunters
1006;Demonstrators
1007;Deniers of Holidays
1008;Depositers angered
1009;Derna Mujahideen Shura Council
1010;Detonators of Social Uprisings
1011;Dev Genc
1012;Dev Sol
1013;Dev Yol
1014;Devrimici Halk Kurtulus Cephesi (DHKP/C)
1015;Didier Ratsiraka's Militia
1016;Dignity Command
1017;Dignity for Colombia
1018;Dima Halao Daoga (DHD)
1019;Dima Hasao National Army
1020;Dioulas tribal group
1021;Diraa al-Shahbaa Rebel Brigade
1022;Direct Action Against Drugs (DADD)
1023;Disgruntled Petroecuador workers
1024;Dishmish Regiment
1025;Dissident
1026;Dissident Military Mmbrs of Northern Tribal Group
1027;Dissident Republican Guard
1028;Dissident Republicans
1029;Dissidents linked to Zanga
1030;Diyala Salvation Council
1031;Dnester region guerrilas
1032;Dnestr Rebels
1033;Dnestr Republic Separatists
1034;Dominican Popular Movement (MPD)
1035;Donetsk People's Republic
1036;Donskoy Army
1037;Do-or-Die Corps for the Abolition of Anti-Public Taxation Systems
1038;Down with Lubbers
1039;Draa El Mizan Seriat
1040;Dravidar Viduthalai Kazhagam (DVK)
1041;Drug-Related Terrorists
1042;Druzes
1043;Dukhta-ran-e-Millat
1044;Dynamic Youth Forum
1045;E. Timorese Youths
1046;Eagles of the Palestinian Revolution
1047;Earth First!
1048;Earth Liberation Front (ELF)
1049;Earth Night Action Group
1050;East Asia Anti Japanese Armed Front
1051;East Side Action Committee
1052;East Timorese extremists
1053;East Turkistan Liberation Organization
1054;Eastern Turkistan Islamic Movement (ETIM)
1055;Ecology and Antinuclear Revolutionary Party (CRAE)
1056;Economic Freedom Fighters
1057;Ecuadorian Communist Youth
1058;Ed'daoua Es'salafia Lilqadha
1059;Eelam People's Revolutionary Liberation Front (EPRLF)
1060;Effiat ethnic roup or Jbibio Peoples
1061;Egbema National Front
1062;Egbesu Youths of the Bayelsa
1063;Egyptian Revolutionary Organization
1064;Egyptian Tawhid and Jihad
1065;Egyptians
1066;Egypt's Revolution
1067;Ein Tyrol (One Tyrol)
1068;Ejercito de Liberacion Nacional (Bolivia)
1069;Ejercito Revolucionaria del Pueblo (ERP) (Argentina)
1070;Ejercito Revolucionario Guevarista (Guevarist Revolutionary Army)
1071;El Mico Rebel Gray
1072;El Movimiento Revolucionario Independinista
1073;Elements Police Cobra Squadron
1074;El-Feth katibat
1075;Elos security firm
1076;Emilio Recabarren Commando
1077;English Defense League (EDL)
1078;Enraged Revolutionaries
1079;Environmental Life Force
1080;Environmentalists
1081;Enyele Militia
1082;Epanastatiki Anatropi (Revolutionary Overthrow)
1083;Eritrean Liberation Front
1084;Eritrean Peoples Liberation Front
1085;Eritrean Salvation Front (ESF)
1086;Erotic Anti-authority Cells
1087;Ethiopian Dongiro tribesmen
1088;Ethiopian People's Revolutionary Party
1089;Ethiopians
1090;Ethnic Russian Separatists
1091;Etnocacerista Movement
1092;Eva Peron Organization
1093;Evan Mecham Eco-Terrorist International Conspiracy (EMETIC)
1094;Evangelical Christians
1095;Ex-Somoza National Guard
1096;Extortionists
1097;Extraparliamentary Opposition (APO)
1098;Extreme Left
1099;Extreme Right Commando Brigade
1100;Extreme Right-wing Socialist Phalange
1101;Extremist Nat'list Group
1102;Extremists
1103;FACDM
1104;Face to Face (Face-a-Face)
1105;Faithful Resistance
1106;Falange
1107;Falangist Security Group
1108;Falangist Vanguard
1109;Fanatical Ecologists
1110;Fanmi Lavalas
1111;Faqra Tribal Group
1112;Farabundo Marti National Liberation Front (FMLN)
1113;Farighan
1114;Farm Animal Revenge Militia (FARM)
1115;Farmers
1116;Farmer's Movement of the Philippines (KMP)
1117;Farzandan-e-Millat
1118;Fatah al-Islam
1119;Fatah Hawks
1120;Fatah Uprising
1121;Father of the Poor
1122;Fatherland
1123;Fatherland and Liberty Nationalist Front (FNPL - Frente Nacionalista Patria y Libertad FNPL)
1124;Fatherland for the Poor
1125;February 12 Movement
1126;February 14th Movement
1127;February 17 Martyrs Brigade
1128;February 27 Revolutionary Armed Forces
1129;February 28 Popular League (El Salvador)
1130;Fedayeen
1131;Fedayeen Imam Mahdi
1132;Fedayeen Khalq (People's Commandos)
1133;Fedayeen of the Imperial Iranian Monarchy
1134;Federation of Students and Scholars of Cote d'Ivoire (FESCI)
1135;Feliciano Argueta Front
1136;Fetullah Terrorist Organization
1137;Fezzan Province of the Islamic State
1138;Fight Against Authority
1139;Fighters for Communism
1140;Fighters for the Liberation of the Turkish People
1141;Fighters of Democratic Latvia
1142;Fighters of the People
1143;Fighting Communist Front
1144;Fighting Communist Unit
1145;Fighting Communists
1146;Fighting Ecologist Movement
1147;Fighting For Freedom Coalition (FFFC-Ottawa)
1148;Fighting Guerrilla Formation
1149;Fighting Guerrillas of May
1150;Fighting Nucleus for Communism
1151;Fighting Popular Rally
1152;Fighting Proletarian Front
1153;Fighting Proletarian Squads
1154;Fighting Women
1155;Fighting Workers for Communism
1156;Filipino Communists
1157;Filipino Soldiers for the Country
1158;Fire Group
1159;First Capital Command (PCC)
1160;First May Movement
1161;First of October Antifascist Resistance Group (GRAPO)
1162;Flying Eagles (Vigilante Group)
1163;Foibe tribe
1164;Forbid the Evil Group (Muslim Extremists)
1165;Forbidden Blockade (Greece)
1166;Force 17
1167;Force Etudiante Critique
1168;Forces for the Defense of Democracy (FDD)
1169;Forces for the Unification of the Central African Republic (FIRCA)
1170;Forces of the Free Arab
1171;Forces of the Struggling Ranks
1172;Forest Brothers
1173;"former ""comrades-in-arms"""
1174;Former Border Policeman
1175;Former Govt. Troops
1176;Former Interior Ministry Officers
1177;Former members Central Investigation Office
1178;Former Muslim Guerrillas
1179;Former Soldiers/Police
1180;Former Student Hostel
1181;Forqan Group
1182;Forum for the Restoration of Democracy-Kenya
1183;Four Martyrs Brigade
1184;Fourth Reich Skinheads
1185;France's Honour
1186;Francia
1187;Francisco Villa People's Front
1188;Fred Hampton Unit of the People's Forces
1189;Free Aceh Movement (GAM)
1190;Free All Political Prisoners in Holland
1191;Free and Democratic Society of Eastern Kurdistan (KODAR)
1192;Free Balochistan Army (FBA)
1193;Free Democratic People's Government of Laos
1194;Free Fatherland
1195;Free Fatherland Youth Guerrilla Army
1196;Free Galician People's Guerrilla Army
1197;Free Idlib Army
1198;Free Lebanon
1199;Free Libya Martyrs Brigade
1200;Free Nasserite Revolutionaries
1201;Free Network South (Freies Netz Sued)
1202;Free Papua Movement (OPM-Organisasi Papua Merdeka)
1203;Free Revolutionaries Movement-The Giants
1204;Free Syrian Army
1205;Free Vietnam Movement
1206;Freedom Eagles of Africa
1207;Freedom Party
1208;Freital Group
1209;French Armed Islamic Front
1210;French Basque Nationalists
1211;French Liberation Front
1212;French National
1213;Friendly Company
1214;Friends of Freedom
1215;Friends of Loukanikos
1216;Front de Liberation du Quebec (FLQ)
1217;Front for Armenian Liberation
1218;Front for Peace and Reconciliation (FRP)
1219;Front for the Liberation of Cabinda / Cabinda Armed Forces (FLEC-FAC)
1220;Front for the Liberation of Lebanon from Foreigners
1221;Front For the Liberation of the Azores
1222;Front for the Liberation of the Enclave of Cabinda (FLEC)
1223;Front for the Liberation of the French Somali Coast
1224;Front for the National Liberation of Puerto Rico
1225;Front for the Restoration of Unity and Democracy
1226;Front Line Armed Nuclei (FLAN)
1227;Front of French National Liberation
1228;Front of Resistance and National Liberation of Albanians
1229;Fronte Paesanu Corsu di Liberazione (FPCL)
1230;Fuerza Nueva
1231;Fuerzas Armadas de Liberacion Nacional (FALN)
1232;Fuerzas Armadas Revolucionarias del Pueblo (FARP)
1233;Fuerzas Autonómicas y Destructivas León Czolgoscz
1234;Fuerzas Populares Jose Leonardo Chirinos
1235;Fulani extremists
1236;Fundamentalists
1237;Furious Rebellion
1238;Future movement (Lebanon)
1239;GAC
1240;Gaddafi loyalists
1241;Gaitanista Self-Defense Forces of Colombia (AGC)
1242;Ganda Koi
1243;Gang
1244;Gang separatists terrorists
1245;Gangs of Conscience
1246;Garo National Liberation Army
1247;Gathering to Aid the Oppressed
1248;Gay Liberation Front
1249;Gazteriak
1250;Gbagbo Loyalists
1251;Generation of Arab Fury
1252;George Jackson Brigade
1253;Georgian extremists
1254;Georgian guerrillas
1255;Georgian Militants
1256;Georgian Sabotage Group
1257;German Resistance Movement
1258;German Speaking Separatists
1259;Ghniwah Militia
1260;Gholam Yahya Akbar
1261;Gilad Shalhevet Brigades
1262;Global Intifada
1263;GN-95
1264;God our Father Cult
1265;God's Army
1266;God's Oppressed Army
1267;Gono Bahini (GB)
1268;Government Supporters
1269;GP II
1270;Gracchus Babeuf
1271;Great Eastern Islamic Raiders Front (IBDA-C)
1272;Great Japan Patriotic Party
1273;Greater Damascus Operations Room
1274;Greek Anarchists' Union
1275;Greek Anti-Dictatorial Youth (EAN)
1276;Greek Bulgarian Armenian Front
1277;Greek National Socialist Organization
1278;Greek Popular Resistance
1279;Grey Wolves
1280;Group for a Strong Revolutionary Movement
1281;Group for Martyred Isam as-Sartawi
1282;Group of Carlo Giuliani
1283;Group of Popular Fighters
1284;Group of the Fatima Church Attack
1285;Group Yuri Choukewitch
1286;Groups for Dissemination of Revolutionary Theory and Action
1287;Groups Seeking Independence
1288;Grozny Jamaat
1289;Grupo Armado de Liberacion Argentina (GALA)
1290;Grupo de Combatientes Populares
1291;Grupo Estrella
1292;Grupo Libertad
1293;Gruppe Haw Weg Den Scheiss
1294;Guadalcanal Liberation Army
1295;Guadalcanal Liberation Front (GLF)
1296;Guadeloupe Liberation Army
1297;Guadeloupe Separatists
1298;Guajajara Tribe
1299;Guardians of the Islamic Revolution
1300;Guards of the Fighting Proletariat
1301;Guardsmen of Islam
1302;Guatemalan Communist Party
1303;Guatemalan hired assasins
1304;Guatemalan Labor Party (PGT)
1305;Guatemalan National Revolutionary Unity (URNG)
1306;Guaycaipuro Indians
1307;Guerilla Party of the Galician Poor
1308;Guerrilla Army of the Poor (EGP)
1309;Guerrilla Column 29 September
1310;Guerrilla Command Force 97
1311;Guerrilla Commando of the people
1312;Guerrilla Forces for Liberation
1313;Guerrilla Movement of the Poor (MGP)
1314;Guerrillas
1315;Guerrillas of Christ the King
1316;Gugama Youth Federation
1317;Gulf Cartel
1318;Gun runners
1319;Gunib Group
1320;Gunmen
1321;Gunmen loyal to Mohammad Farah Aideed
1322;Gurkha National Liberation Front (GNLF)
1323;Gutierrez Gomez Resistance Group
1324;Habi's Er'roub seriat
1325;Habr Gedir Clan
1326;Hadramawt Province of the Islamic State
1327;Hadramawt Tribes Alliance
1328;Hafiz Gul Bahadur Group
1329;Haftar Militia
1330;Haika
1331;Haji Fateh
1332;Halqa-e-Mehsud
1333;Hamas (Islamic Resistance Movement)
1334;Hamawand Tribe
1335;Hamza Combat Group against Atheism and Heresy
1336;Hanafi Muslims
1337;Hanchongryun
1338;Haqqani Network
1339;Harakat al-Nujaba
1340;Harakat Ansar Iran (HAI)
1341;Harakat ul-Mujahidin (HuM)
1342;Harakat ul-Mujahidin Al-Almi
1343;Harakat-i-Inqilahi-i-Islami
1344;Harkat ul Ansar
1345;Harkatul Jihad-e-Islami
1346;Hasam Movement
1347;Hasmoneans (Jewish Settler Group)
1348;Hassan Mabkhut Group
1349;Hatikvah Leumi or National Hope
1350;Hauso Ethnic Group
1351;Hawaiian extremists
1352;Hector Rio De Brigade
1353;Hekla Reception Committee-Initiative for More Social Eruptions
1354;Hells Angels
1355;Heroes of Canto Grande
1356;Hezb-e Wahdat-e Islami-yi Afghanistan
1357;Hezbollah
1358;Hezbollah Palestine
1359;Hijaz Province of the Islamic State
1360;Hill Students Council
1361;Hill Tiger Force (HTF)
1362;Himali Tigers
1363;Hindu extremists
1364;Hindu Illaignar Sena
1365;Hindu Morcha Nepal
1366;Hiroyuki Jo
1367;Hizb al-Tahrir al-Islami (HT)
1368;Hizb-I-Islami
1369;Hizbul al Islam (Somalia)
1370;Hizbul Mujahideen (HM)
1371;Hmar People's Convention-Democracy (HPC-D)
1372;Hofstad Network
1373;Holders of the Black Banners
1374;Holy Spirit Movement
1375;Homeland and Freedom Group
1376;Honour of the Police
1377;hooded men
1378;Hoodie Wearers
1379;Hotaru (Firefly)
1380;Houthi extremists (Ansar Allah)
1381;Hubay Qah Group
1382;Human Rights Defence Committee
1383;Human Rights Renewal Movement (Renovacion por los Derechos Humanos)
1384;Hungarian exile
1385;Hungarian Skin Head Group
1386;Huria Kristen Batak Protestan (HKBP)
1387;Hushaysh Tribal Members
1388;Hutu extremists
1389;Hutus Former Soldiers
1390;H-World/Heavenly Group
1391;Hynniewtrep National Liberation Council (HNLC)
1392;Iberian Anarchist Federation
1393;Iberian Liberation Movement (MIL)
1394;Iconoclasts
1395;Idealist Association
1396;Idriss Miskine Group
1397;Igbo tribal group
1398;Ijaw extremists
1399;Ikhwan Jammu and Kashmir
1400;Ikhwan-ul-Muslimeen
1401;Illuminating Paths of Solidarity
1402;Imam al-Bukhari Brigade
1403;Imam Hussein Brigade
1404;Imperial Iranian Patriotic Organization
1405;Incendiary Committee of Solidarity for Detainees
1406;Independence Advocates
1407;Independent Albanian Movement
1408;Independent Armed Revolutionary Commandos (CRIA)
1409;Independent Nasserite Movement
1410;Independent Peasants Union
1411;Indian Mujahideen
1412;Indian Tigers
1413;Indians
1414;Indigenous People's Federal Army (IPFA)
1415;Indipendenza
1416;Individuals claimed to be policemen
1417;Individuals Tending Toward Savagery
1418;Informal Anarchist Federation
1419;Ingush Rebels
1420;Initiative de Resistance Internationaliste
1421;Inkatha Freedom Party (IFP)
1422;Inkotanyi
1423;Instigators of Social Explosion
1424;Institutional Revolutionary Party (PRI)
1425;Insurgency Commune
1426;Insurgents
1427;Internal Front
1428;International Anti-Communist Intelligence Service
1429;International Committee Against Nazism
1430;International Communist Brigade
1431;International Communist Group
1432;International Justice Group (Gama'a al-Adela al-Alamiya)
1433;International Mercenary Brigade
1434;International Movement of the Prolitariat
1435;International Proletarian Groups
1436;International Revolutionary Action Group (GARI)
1437;International Revolutionary Front
1438;International Revolutionary Solidarity
1439;International Solidarity
1440;Internationalist Cells
1441;Intifada Martyrs
1442;Into the Blue Commando of the Revolutionary Cells
1443;Iparretarrak (IK)
1444;Iranian dissident group
1445;Iranian exiles
1446;Iranian extremists
1447;Iranian Militants
1448;Iranian Monarchists
1449;Iranian Revolution Organization
1450;Iranians
1451;Iraqi Communists
1452;Iraqi Democratic Front
1453;Iraqi extremists
1454;Iraqi Islamic Vanguards for National Salvation (IIVNS)
1455;Iraqi Liberation Army
1456;Iraqi Moslems
1457;Iraqi Mujahideen
1458;Iraqi National Congress (INC)
1459;Iraqi Revolutionary Forces
1460;Iraqi Strugglers' Movement
1461;Iraqi Sunni Extremists
1462;Iraq's Jihadist Leagues
1463;Irian Jaya Rebels
1464;Irianese Tribesmen
1465;Irish National Liberation Army (INLA)
1466;Irish People's Liberation Organization (IPLO)
1467;Irish Republican Army (IRA)
1468;Irish Republican Extremists
1469;Isatabu Freedom Movement (IFM)
1470;Islam Liberation Front
1471;Islambouli Brigades of al-Qaida
1472;Islami Jamiat-e-Talaba (IJT)
1473;Islamic Action Organization
1474;Islamic Arab Front of Azawad (FIAA)
1475;Islamic Army in Iraq (al-Jaish al-Islami fi al-Iraq)
1476;Islamic Brotherhood
1477;Islamic Cause Organization
1478;Islamic Companies
1479;Islamic Courts Union (ICU)
1480;Islamic Defenders' Front (FPI)
1481;Islamic Fateh
1482;Islamic Front
1483;Islamic Front (Syria)
1484;Islamic Front for the Liberation of Bahrain
1485;Islamic Front for the Liberation of Palestine (IFLP)
1486;Islamic Golden Army
1487;Islamic Holy Star
1488;Islamic International Peacekeeping Brigade (IIPB)
1489;Islamic Jihad Beit-al Maqdis Group
1490;Islamic Jihad Brigades
1491;Islamic Jihad Front
1492;Islamic Jihad Group (IJG)
1493;Islamic Jihad Organization (Yemen)
1494;Islamic Jihad Union (Uzbekistan)
1495;Islamic Legion
1496;Islamic Liberation Organization
1497;Islamic Movement (Nigeria)
1498;Islamic Movement for Change
1499;Islamic Movement for the Liberation of Raja
1500;Islamic Movement of Iraqi Mujahidin
1501;Islamic Movement of Kashmir
1502;Islamic Movement of Martyrs
1503;Islamic Movement of Uzbekistan (IMU)
1504;Islamic Movement Organization
1505;Islamic Mujahidin
1506;Islamic Party (Somalia)
1507;Islamic Party of Kenya (IPK)
1508;Islamic Renewal Movement
1509;Islamic Revenge Organization
1510;Islamic Revival Movement
1511;Islamic Revolutionary Command
1512;Islamic Salvation Front (FIS)
1513;Islamic Salvation Front (Palestine)
1514;Islamic Shashantantra Andolon (ISA)
1515;Islamic State in Bangladesh
1516;Islamic State in the Greater Sahara (ISGS)
1517;Islamic State of Iraq (ISI)
1518;Islamic State of Iraq and the Levant (ISIL)
1519;Islamic Struggle Front
1520;Islamic Swords of Justice in the Land of Ribat
1521;Islamic Tendency
1522;Islamic Unification Movement
1523;Islamic Youth Shura Council
1524;Islamist extremists
1525;Islamist Sufi Group
1526;Island Brigade (Libya)
1527;Israel Militant
1528;Israeli extremists
1529;Israeli settlers
1530;Israeli Terrorist Group
1531;Issa and Gurgura Liberation Front
1532;Issui Kai
1533;Italian Combatents for Alto Adige
1534;Italian Extreme Nationalist Organization
1535;Italian Social Movement (MSI)
1536;Italians Attacking Policies of the Regional  SVP
1537;Itsekiri
1538;Ittehad-i-Islami
1539;Ivorian Popular Front
1540;Izberbash Gang
1541;Jabha East Africa
1542;Jacinto Araujo Internationalist Rebel Insurrectionist Brigade
1543;Jacques de Molay Group
1544;Jadid Al-Qaida Bangladesh (JAQB)
1545;Jagrata Towhidi Janata (Rising Faithfuls)
1546;Jai Shri Ram Hindu Bhai Group
1547;Jaime Bateman Cayon Group (JBC)
1548;Jaish al-Adl
1549;Jaish al-Fatah (Syria)
1550;Jaish al-Islam (Libya)
1551;Jaish al-Muhajireen wal-Ansar (Muhajireen Army)
1552;Jaish al-Mujahideen (Syria)
1553;Jaish al-Mukhtar
1554;Jaish al-Muslimin (Army of the Muslims)
1555;Jaish al-Sunnah
1556;Jaish al-Ta'ifa al-Mansura
1557;Jaish al-Umar (JaU)
1558;Jaish Al-Umma (Army of the Nation)
1559;Jaish as-Saiyouf (Army of Swords)
1560;Jaish Tahkim al-Din
1561;Jaish Usama
1562;Jaish-e-Islam
1563;Jaish-e-Khorasan (JeK)
1564;Jaish-e-Mohammad (Iraq)
1565;Jaish-e-Mohammad (JeM)
1566;Jaljala Army
1567;Jamaa Al-Islamiya Al-Alamiya (World Islamist Group)
1568;Jamaah Ansharut Daulah
1569;Jamaah Ansharut Tauhid (JAT)
1570;Jamaat Tauhid Wal Jihad (Pakistan)
1571;Jamaat-al-Fuqra
1572;Jamaat-E-Islami (Bangladesh)
1573;Jamaat-E-Islami (India/Pakistan)
1574;Jama'atul Mujahideen Bangladesh (JMB)
1575;Jamaat-ul-Ahrar
1576;Jamaica Labor Party
1577;Jamat al-Tawhid wal-Qisas
1578;Jamiat ul-Mujahedin (JuM)
1579;Jamiat-e Islami-yi Afghanistan
1580;Jammu and Kashmir Islamic Front
1581;Jammu and Kashmir Liberation Front
1582;Janatantrik Terai Madhes Mukti Party- Bhagat Singh (JTMMP)
1583;Janatantrik Terai Madhesh Mukti Morcha (JTMMM)
1584;Janatantrik Terai Mukti Morcha (JTMM)
1585;Janatantrik Terai Mukti Morcha- Bisphot Singh (JTMM-B)
1586;Janatantrik Terai Mukti Morcha- Goit (JTMM-G)
1587;Janatantrik Terai Mukti Morcha- Jwala Singh (JTMM-J)
1588;Janatantrik Terai Mukti Morcha- Prithvi Singh (JTMM-P)
1589;Janatantrik Terai Mukti Morcha- Rajan Mukti (JTMM-R)
1590;Janatantrik Terai Mukti Morcha- Ranbir Singh (JTMM-RS)
1591;Janatantrik Tiger Janashakti Party
1592;Janjaweed
1593;January 22
1594;Japan National Youth Alliance
1595;Japan Socialist Youth League of the Revolutionary Workers' Association
1596;Japanese Independence Patriotic Party
1597;Japanese Red Army (JRA)
1598;Jarnail Khalsa
1599;Jarrai
1600;Jatav Caste
1601;Javier Heraud Revolutionary Commando
1602;Jaysh al-Islam (Syria)
1603;Jeay Sindh Qaumi Mahaz (JSQM)
1604;Jemaah Islamiya (JI)
1605;Jenin Martyrs Brigades
1606;Jerusalem Groups Hebrew (Qvutzot Yerushalayim)
1607;Jewish Action Movement
1608;Jewish Armed Resistance
1609;Jewish Combat Organization
1610;Jewish Committee of Concern
1611;Jewish Defenders
1612;Jewish Defense League (JDL)
1613;Jewish Defense Organization
1614;Jewish Direct Action
1615;Jewish Extremists
1616;Jewish Fighting Organization (Eyal)
1617;Jewish Terror
1618;Jharkhand Bachao Aandolan
1619;Jharkhand Janmukti Parishad (JJP)
1620;Jharkhand Kranti Raksha Dal (Utari Chotanagpur)
1621;Jharkhand Liberation Tigers (JLT)
1622;Jharkhand Mukti Morcha (JMM)
1623;Jharkhand Prastuti Committee (JPC)
1624;Jharkhand Sangharsh Jan Mukti Morcha
1625;Jharkhand Tribal Forces
1626;Jihad Brigades
1627;Jihad Islamic League Front
1628;Jihad Martyr's Companies in Iraq
1629;Jihadi Movement of the Sunna People of Iran
1630;Jihadi-inspired extremists
1631;Jihadist Soldiers
1632;Joint Meeting Parties (JMP)
1633;Joint Palestinian leftist organization
1634;Jonathan Jackson Brigade
1635;Jordanian Islamic Resistance
1636;Jordanian Masses Organization
1637;Jordanian National Liberation Movement
1638;Jordanian Revolutionary and Military Committee (MOUAB)
1639;Jorge Eliecer Gaitan Nationalist Movement
1640;Jorge Martinez Association of Combatants
1641;Jose Benito Escobar Workers Federation
1642;Juan Antonio Lavalleja Command
1643;Juan Rayo Guerilla Group
1644;Juarez Cartel (Carrillo-Fuentes / Mexico)
1645;July 14 Movement
1646;Jumuiya ya Taasisi za Kiislam (Community of Muslim Organizations)
1647;Junaid Jihadist Battalion
1648;Jund al-Aqsa
1649;Jund al-Islam
1650;Jund al-Khilafa
1651;Jund al-Khilafah (Tunisia)
1652;Jund al-Sahabah Group
1653;Jund al-Sham for Tawhid and Jihad
1654;Jund Al-Tawid
1655;Jund Ansar Allah
1656;Jundallah (Iran)
1657;Jundallah (Pakistan)
1658;Jundul Khilafah (Philippines)
1659;June 16 Organization
1660;Just Punishment Brigades
1661;Justice and Equality Movement (JEM)
1662;Justice and Liberty Warriors
1663;Justice Army for Defenseless Peoples
1664;Justice Commandos for the Armenian Genocide
1665;Justice Guerrillas
1666;Justice Party
1667;Kabataang Makabayan (KM)
1668;Kabul Government Agents
1669;Kach
1670;Kachin Independence Army (KIA)
1671;Kachin Insurgents
1672;Kahane Chai
1673;Kaingang Indians
1674;Kaitseliit Paramiltary Group
1675;Kaka-Tribesmen
1676;Kalpar Tribesmen
1677;Kamajor Hunters
1678;Kamal Boulander Group
1679;Kamal Udwan Unit of Palestinians
1680;Kampuchean Peoples National Liberation Army
1681;Kamtapur Liberation Organization (KLO)
1682;Kamwina Nsapu Militia
1683;Kanak Separatists
1684;Kanak Socialist National Liberation Front
1685;Kanakas
1686;Kanglei Yawol Kanna Lup (KYKL)
1687;Kangleipak Communist Party (KCP)
1688;Kani Brigade
1689;Kara clan
1690;Karabulak Gang
1691;Karamojong Warriors
1692;Karamyit Singh
1693;Karbi Longri National Liberation Front (KLNLF)
1694;Karbi Longri North Cachar Liberation Front (KLNLF)
1695;Karbi National Volunteers (KNV)
1696;Karbi People's Liberation Tigers (KPLT)
1697;Karbi Tribe
1698;Karen Insurgents
1699;Karen National Union
1700;Karenni National Progressive Party
1701;Karnataka State Farmers Association
1702;Kashmir Freedom Force
1703;Kashmiri extremists
1704;Kashmiri Hezbollah
1705;Kata'ib al-Khoul
1706;Kata'ib Hezbollah
1707;Katap Ethic Group
1708;Katsina Muslim Society
1709;Katsuhisa Omori
1710;Kawal ng Pilipinas (Soldier of the Philippines)
1711;Kazakhstan Liberation Army
1712;Kentavros
1713;Kenya African National Union (KANU)
1714;Kenyan rebels from Uganda
1715;Keshet
1716;Khaled Ibn al-Walid Army
1717;Khalid ibn Walid
1718;Khalid ibn Walid Brigade
1719;Khalistan Commando Force
1720;Khalistan Liberation Force
1721;Khalistan Zindabad (Long Live Khalistan)
1722;Kharkiv Partisans
1723;Khasavyurt Group
1724;Khasi Students Union
1725;Khatm-e-Nabuwat (KeN)
1726;Khmer Bandits
1727;Khmer Rouge
1728;Khmer Serei Guerrillas
1729;Khomeynites
1730;Khorasan Chapter of the Islamic State
1731;Khorasan jihadi group
1732;Khristos Kasimis
1733;Khumbuwan Mukti Morcha
1734;Khun Sa Guerrillas
